Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
kia,sportage,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,1014
bentley,flying,2009,Xe đã dùng,67200.0,Nhập khẩu,Sedan,Số tự động,Xăng,6.0,5.0,2550
mercedes benz,glc,2023,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2749
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,904
toyota,camry,2009,Xe đã dùng,100000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,335
ford,escape,2007,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.3,5.0,146
peugeot,3008,2020,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,711
ford,everest,2009,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.5,7.0,265
toyota,hilux,2019,Xe đã dùng,80000.0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,2.4,5.0,507
hyundai,kona,2019,Xe đã dùng,42000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,515
honda,accord,2011,Xe đã dùng,130000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.4,5.0,355
hyundai,santafe,2015,Xe đã dùng,80000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,660
hyundai,tucson,2019,Xe đã dùng,50000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,695
mercedes benz,cclass,2022,Xe đã dùng,500.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1559
hyundai,tucson,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,744
kia,cerato,2019,Xe đã dùng,40000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,499
toyota,innova,2018,Xe đã dùng,169000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,520
honda,city,2022,Xe đã dùng,11500.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,525
mitsubishi,grandis,2008,Xe đã dùng,150000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,260
mazda,3,2019,Xe đã dùng,0.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,490
kia,sorento,2017,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,620
mercedes benz,glc,2017,Xe đã dùng,80450.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1045
mini,cooper,2022,Xe đã dùng,6868.0,Nhập khẩu,Hatchback,Số tự động,Xăng,2.0,4.0,2380
toyota,alphard,2010,Xe đã dùng,92000.0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,3.5,7.0,1150
audi,q5,2017,Xe đã dùng,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1245
mercedes benz,maybach,2019,Xe đã dùng,60000.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,4699
lexus,gs,2009,Xe đã dùng,68000.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.5,5.0,680
mercedes benz,eclass,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,2159
toyota,vios,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,592
audi,a8,2014,Xe đã dùng,53000.0,Nhập khẩu,Sedan,Số tự động,Xăng,4.0,5.0,1900
mercedes benz,vclass,2015,Xe đã dùng,60000.0,Nhập khẩu,Van/Minivan,Số tự động,Dầu,2.1,7.0,1100
mitsubishi,xpander,2019,Xe đã dùng,42568.0,Nhập khẩu,SUV /Crossover,Số tay,Xăng,1.5,7.0,420
bmw,x5,2007,Xe đã dùng,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,7.0,300
hyundai,tucson,2020,Xe đã dùng,60000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,699
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,986
mercedes benz,gle,2018,Xe đã dùng,23000.0,Nhập khẩu,Coupe,Số tự động,Xăng,3.0,5.0,2399
kia,sorento,2016,Xe đã dùng,80000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,615
chevrolet,spark,2009,Xe đã dùng,0.0,Trong nước,Hatchback,Số tay,Xăng,0.8,5.0,69
