Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
kia,morning,2017,Xe đã dùng,80000.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,245
toyota,vios,2019,Xe đã dùng,60000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,435
toyota,innova,2021,Xe đã dùng,15000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,675
mitsubishi,triton,2023,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.4,5.0,585
ford,ecosport,2019,Xe đã dùng,27000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,485
subaru,forester,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,969
volkswagen,teramont,2022,Xe đã dùng,11000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,7.0,2189
ford,ranger,2023,Xe đã dùng,13000.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,649
toyota,landcruiser,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.4,7.0,5136
mercedes benz,glc,2016,Xe đã dùng,60000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,950
kia,cerato,2017,Xe đã dùng,88262.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,410
porsche,718,2019,Xe đã dùng,7797.0,Nhập khẩu,Convertible,Số tự động,Xăng,2.0,2.0,3750
mitsubishi,pajero,2012,Xe đã dùng,90000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,3.0,7.0,390
kia,carnival,2023,Xe mới,0.0,Trong nước,Van/Minivan,Số tự động,Xăng,3.5,7.0,1834
mercedes benz,sclass,2016,Xe đã dùng,11200.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,1520
porsche,718,2020,Xe đã dùng,20000.0,Nhập khẩu,Coupe,Số tự động,Xăng,2.0,2.0,3690
toyota,fortuner,2012,Xe đã dùng,4087.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.5,7.0,475
mazda,323,1998,Xe đã dùng,0.0,Trong nước,Sedan,Số tay,Xăng,1.6,5.0,45
hyundai,creta,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,590
rolls royce,cullinan,2022,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,6.7,4.0,45000
hyundai,tucson,2019,Xe đã dùng,68000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.0,5.0,688
toyota,prado,2021,Xe đã dùng,30000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,2220
bmw,m4,2016,Xe đã dùng,40000.0,Nhập khẩu,Coupe,Số tự động,Xăng,3.0,5.0,3300
hyundai,tucson,2021,Xe đã dùng,40000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,768
ford,everest,2021,Xe đã dùng,35000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.0,7.0,950
bmw,i8,2015,Xe đã dùng,35200.0,Nhập khẩu,Coupe,Số tự động,Hybrid,1.5,4.0,3390
ford,ecosport,2017,Xe đã dùng,45000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,395
mercedes benz,eclass,2008,Xe đã dùng,190000.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,255
mazda,cx5,2020,Xe đã dùng,33300.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,5.0,755
maserati,levante,2016,Xe đã dùng,35900.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,5.0,2398
hyundai,tucson,2018,Xe đã dùng,80000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,615
toyota,camry,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Hybrid,2.5,5.0,1420
mercedes benz,cclass,2019,Xe đã dùng,65000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1180
mercedes benz,cclass,2010,Xe đã dùng,123456.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,320
peugeot,208,2013,Xe đã dùng,86000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.6,5.0,308
mazda,cx5,2018,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,5.0,625
kia,sportage,2022,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.0,5.0,875
kia,cerato,2018,Xe đã dùng,58642.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,435
kia,morning,2018,Xe đã dùng,3500.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,265
hyundai,i10,2017,Xe đã dùng,40000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.0,5.0,281
volkswagen,tiguan,2021,Xe đã dùng,26000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,7.0,1499
suzuki,swift,2019,Xe đã dùng,28000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,450
toyota,landcruiser,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.4,7.0,4286
toyota,yaris,2015,Xe đã dùng,70000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.3,5.0,375
ford,everest,2022,Xe đã dùng,27000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.0,7.0,1420
mitsubishi,triton,2023,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.4,5.0,588
hyundai,tucson,2018,Xe đã dùng,59000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,690
toyota,camry,2018,Xe đã dùng,48000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,668
toyota,fortuner,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.4,7.0,1219
suzuki,super,2023,Xe mới,0.0,Trong nước,Van/Minivan,Số tay,Xăng,1.0,2.0,295
isuzu,mux,2022,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,1.9,7.0,860
mazda,6,2014,Xe đã dùng,85000.0,Trong nước,Sedan,Số tự động,Xăng,2.5,5.0,410
landrover,rangerover,2014,Xe đã dùng,65000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,5.0,4.0,3899
bmw,5,2016,Xe đã dùng,80000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,1148
hyundai,palisade,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,1559
bmw,5,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1849
mercedes benz,sclass,2020,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,2790
ford,ranger,2013,Xe đã dùng,110000.0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,2.2,5.0,295
toyota,prado,2023,Xe đã dùng,2000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,2850
hyundai,santafe,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,1182
kia,soluto,2021,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,386
mazda,3,2021,Xe đã dùng,25000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,566
toyota,vios,2020,Xe đã dùng,50000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,468
honda,city,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,545
lexus,rx,2020,Xe đã dùng,20000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2530
peugeot,5008,2022,Xe đã dùng,90000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,7.0,998
kia,sorento,2016,Xe đã dùng,93000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,528
kia,carnival,2023,Xe đã dùng,6000.0,Trong nước,Van/Minivan,Số tự động,Dầu,2.2,7.0,1428
ford,territory,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,885
toyota,corollaaltis,2019,Xe đã dùng,37900.0,Trong nước,Sedan,Số tự động,Xăng,1.8,5.0,570
peugeot,5008,2022,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,7.0,959
toyota,vios,2021,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,495
toyota,velozcross,2022,Xe đã dùng,10000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,645
volkswagen,touareg,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,3099
ford,ranger,2018,Xe đã dùng,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.2,5.0,545
toyota,vios,2019,Xe đã dùng,60000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,485
hyundai,santafe,2018,Xe đã dùng,71000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,775
hyundai,creta,2022,Xe đã dùng,16000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,5.0,640
honda,hrv,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,5.0,655
nissan,x,2017,Xe đã dùng,90000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,7.0,539
hyundai,accent,2021,Xe đã dùng,38000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,448
toyota,zace,2003,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tay,Xăng,1.8,8.0,138
mazda,cx5,2021,Xe đã dùng,47000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,755
toyota,corollacross,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.8,5.0,860
ford,ranger,2023,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,1299
mg,5,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.5,5.0,470
hyundai,accent,2020,Xe đã dùng,24000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,440
ford,ranger,2021,Xe đã dùng,47000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,955
hyundai,grand,2015,Xe đã dùng,91000.0,Nhập khẩu,Van/Minivan,Số tay,Dầu,2.5,6.0,489
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tay,Dầu,2.0,5.0,665
vinfast,luxa,2021,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,575
peugeot,5008,2019,Xe đã dùng,50000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,7.0,695
toyota,vios,2017,Xe đã dùng,92000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,375
vinfast,luxsa,2019,Xe đã dùng,21000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,7.0,745
chevrolet,colorado,2019,Xe đã dùng,70000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.5,5.0,409
toyota,fortuner,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.4,7.0,1107
mercedes benz,glc,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2299
toyota,prado,2015,Xe đã dùng,80000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,1150
volvo,xc60,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2088
vinfast,luxa,2019,Xe đã dùng,33000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,610
mercedes benz,gls,2021,Xe đã dùng,30400.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,7.0,4580
suzuki,super,2022,Xe đã dùng,9600.0,Trong nước,Kiểu dáng khác,Số tay,Xăng,1.0,2.0,209
honda,crv,2021,Xe đã dùng,17789.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,7.0,875
mercedes benz,cclass,2021,Xe đã dùng,25000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1139
mercedes benz,sclass,2017,Xe đã dùng,20000.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,2350
mitsubishi,attrage,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.2,5.0,404
ford,focus,2011,Xe đã dùng,180000.0,Trong nước,Hatchback,Số tự động,Xăng,1.8,5.0,240
bmw,3,2015,Xe đã dùng,63000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,490
kia,rio,2014,Xe đã dùng,70000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.4,5.0,335
peugeot,5008,2022,Xe đã dùng,9000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,7.0,990
toyota,innova,2016,Xe đã dùng,80122.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,440
hyundai,verna,2008,Xe đã dùng,12000.0,Nhập khẩu,Sedan,Số tay,Xăng,1.4,5.0,110
kia,cerato,2017,Xe đã dùng,68.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,429
audi,q5,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2195
mazda,cx8,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,7.0,1024
landrover,rangerover,2014,Xe đã dùng,50000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,5.0,2555
hyundai,i10,2020,Xe đã dùng,30000.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,352
mitsubishi,attrage,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tay,Xăng,1.2,5.0,330
kia,sorento,2019,Xe đã dùng,40000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,615
bmw,3,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1455
mg,zs,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,5.0,548
mercedes benz,eclass,2022,Xe đã dùng,2800.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,2069
chevrolet,cruze,2017,Xe đã dùng,50000.0,Trong nước,Sedan,Số tự động,Xăng,1.8,5.0,368
lexus,is,2009,Xe đã dùng,70000.0,Nhập khẩu,Convertible,Số tự động,Xăng,2.5,4.0,999
mercedes benz,glc,2020,Xe đã dùng,17999.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1739
mitsubishi,xpander,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,525
mercedes benz,gls,2021,Xe đã dùng,28000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,7.0,4388
chevrolet,colorado,2018,Xe đã dùng,65000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.5,5.0,400
honda,crv,2017,Xe đã dùng,70000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,680
toyota,innova,2015,Xe đã dùng,100000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,385
mercedes benz,cclass,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,2099
hyundai,accent,2022,Xe đã dùng,11000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,475
vinfast,luxa,2019,Xe đã dùng,8500.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,625
mazda,cx5,2017,Xe đã dùng,74000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,580
mazda,cx5,2018,Xe đã dùng,41000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,5.0,625
kia,morning,2022,Xe mới,0.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,424
hyundai,santafe,2016,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,635
toyota,rush,2020,Xe đã dùng,28000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,526
hyundai,stargazer,2023,Xe đã dùng,12000.0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,1.5,7.0,555
toyota,vios,2008,Xe đã dùng,65000.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,228
lexus,es,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.5,5.0,2620
toyota,vios,2020,Xe đã dùng,27500.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,470
toyota,vios,2014,Xe đã dùng,70000.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,350
ford,ranger,2021,Xe đã dùng,37000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.2,5.0,560
toyota,vios,2022,Xe đã dùng,18000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,530
ford,escape,2012,Xe đã dùng,80000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.3,5.0,318
lexus,rx,2019,Xe đã dùng,11000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.5,5.0,3450
vinfast,fadil,2020,Xe đã dùng,4000.0,Trong nước,Hatchback,Số tự động,Xăng,1.4,5.0,316
honda,hrv,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,5.0,660
kia,picanto,2014,Xe đã dùng,900000.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,195
toyota,raize,2022,Xe đã dùng,18000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.0,5.0,510
toyota,fortuner,2020,Xe đã dùng,11000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.4,7.0,965
toyota,wigo,2023,Xe mới,0.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,395
honda,crv,2018,Xe đã dùng,100000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,755
hyundai,getz,2010,Xe đã dùng,0.0,Nhập khẩu,Hatchback,Số tay,Xăng,1.1,5.0,188
ford,everest,2005,Xe đã dùng,200000.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.5,7.0,175
landrover,rangerover,2022,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,3289
mercedes benz,cclass,2021,Xe đã dùng,11000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1119
mitsubishi,xpander,2020,Xe đã dùng,0.0,Nhập khẩu,SUV /Crossover,Số tay,Xăng,1.5,7.0,455
subaru,forester,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,819
mazda,6,2014,Xe đã dùng,112000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,415
subaru,forester,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,969
mercedes benz,eclass,2014,Xe đã dùng,46000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,625
toyota,wigo,2023,Xe mới,0.0,Nhập khẩu,Hatchback,Số tay,Xăng,1.2,5.0,352
toyota,prado,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,2628
lexus,lx,2018,Xe đã dùng,43000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,5.7,7.0,6299
ford,territory,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,909
mitsubishi,pajero,2014,Xe đã dùng,133000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.5,7.0,436
audi,a6,2018,Xe đã dùng,72000.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.8,5.0,1150
vinfast,fadil,2021,Xe đã dùng,3.0,Trong nước,Hatchback,Số tự động,Xăng,1.4,5.0,319
toyota,vios,2021,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,470
mercedes benz,glc,2022,Xe đã dùng,50.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1899
subaru,forester,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,969
ford,everest,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.0,7.0,1393
mazda,3,2021,Xe đã dùng,22000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,555
kia,seltos,2021,Xe đã dùng,18000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.4,5.0,645
mazda,bt50,2015,Xe đã dùng,68000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,3.2,5.0,440
toyota,wigo,2021,Xe đã dùng,40000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,365
bmw,5,2015,Xe đã dùng,60000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,950
ford,everest,2015,Xe đã dùng,130000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.5,7.0,450
mercedes benz,cclass,2022,Xe đã dùng,32.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1839
isuzu,mux,2020,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,1.9,7.0,880
lexus,rx,2007,Xe đã dùng,120000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.5,5.0,460
volvo,xc60,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Hybrid,2.0,5.0,2543
mercedes benz,cclass,2023,Xe đã dùng,8700.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1569
vinfast,luxa,2021,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,575
bmw,x5,2007,Xe đã dùng,100000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,7.0,299
nissan,navara,2019,Xe đã dùng,81000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.5,5.0,460
chevrolet,colorado,2015,Xe đã dùng,7000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.8,5.0,435
hyundai,santafe,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,1174
lexus,rx,2014,Xe đã dùng,120000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.5,5.0,1550
landrover,rangerover,2015,Xe đã dùng,86000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,5.0,2590
vinfast,vf6,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Điện,0.0,5.0,765
mercedes benz,eqs,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Điện,0.0,5.0,4999
lexus,lx,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.4,4.0,9610
mazda,cx8,2020,Xe đã dùng,30000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,7.0,840
toyota,vios,2022,Xe đã dùng,1800.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,480
mazda,2,2018,Xe đã dùng,60000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,368
kia,cerato,2021,Xe đã dùng,43000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,545
toyota,camry,2008,Xe đã dùng,170000.0,Trong nước,Sedan,Số tự động,Xăng,2.4,5.0,298
ford,ranger,2017,Xe đã dùng,7000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,3.2,5.0,620
ford,everest,2006,Xe đã dùng,26000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.6,7.0,120
chevrolet,cruze,2013,Xe đã dùng,130000.0,Trong nước,Sedan,Số tự động,Xăng,1.8,5.0,250
mercedes benz,glc,2017,Xe đã dùng,33000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1080
hyundai,i10,2015,Xe đã dùng,0.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.0,5.0,255
mini,cooper,2022,Xe mới,0.0,Nhập khẩu,Hatchback,Số tự động,Xăng,2.0,4.0,1949
mercedes benz,maybach,2022,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,4.0,8679
hyundai,tucson,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,874
ford,ranger,2023,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,1299
hyundai,santafe,2020,Xe đã dùng,45000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,919
kia,k3,2022,Xe đã dùng,3200.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,669
mercedes benz,gls,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,7.0,5309
lexus,lx,2015,Xe đã dùng,80000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,5.7,7.0,3350
mitsubishi,triton,2020,Xe đã dùng,70000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.4,5.0,515
vinfast,president,2021,Xe đã dùng,19000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,6.2,7.0,1779
toyota,fortuner,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.4,7.0,1070
mercedes benz,glk,2010,Xe đã dùng,80000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,3.0,5.0,365
vinfast,luxa,2021,Xe đã dùng,17000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,665
landrover,rangerover,2010,Xe đã dùng,63500.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,5.0,5.0,690
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,677
bmw,3,2022,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1509
toyota,corollaaltis,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.8,5.0,765
mercedes benz,cclass,2021,Xe đã dùng,1000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1300
mitsubishi,outlander,2019,Xe đã dùng,30000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,745
toyota,fortuner,2022,Xe đã dùng,34000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,1048
toyota,rush,2019,Xe đã dùng,51000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,505
mazda,3,2021,Xe đã dùng,26000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,529
landrover,rangerover,2022,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,4839
hyundai,i10,2018,Xe đã dùng,45000.0,Trong nước,Sedan,Số tự động,Xăng,1.2,5.0,335
hyundai,grand,2013,Xe đã dùng,60000.0,Nhập khẩu,Van/Minivan,Số tay,Dầu,2.5,3.0,470
mercedes benz,cla,2014,Xe đã dùng,88000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,739
