Hãng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Số chỗ ngồi,Giá xe (triệu)
Ford,2006,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tay,Xăng,7,105
Kia,2022,Xe đã dùng,10000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,940
Toyota,2022,Xe đã dùng,23000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,520
Ford,2019,Xe đã dùng,70000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,655
Toyota,2017,Xe đã dùng,130000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,475
Mini,2018,Xe đã dùng,34000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,1199
Mitsubishi,2019,Xe đã dùng,77000,Nhập khẩu,SUV,Số tự động,Dầu,7,775
Bentley,2021,Xe đã dùng,5000,Nhập khẩu,Sedan,Số tự động,Xăng,5,15900
Honda,2020,Xe đã dùng,40000,Nhập khẩu,SUV,Số tự động,Xăng,7,845
MG,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,495
Toyota,2019,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,430
Toyota,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,740
Chevrolet,2017,Xe đã dùng,0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,355
Mercedes Benz,2021,Xe đã dùng,8000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1689
Mercedes Benz,2020,Xe đã dùng,65000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1595
Ford,2017,Xe đã dùng,99000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,489
Mazda,2020,Xe đã dùng,30000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,768
Ford,2021,Xe đã dùng,18000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,510
Mitsubishi,2022,Xe đã dùng,19000,Nhập khẩu,SUV,Số tự động,Xăng,7,556
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,560
Toyota,2016,Xe đã dùng,84000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,485
Kia,2019,Xe đã dùng,68000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,279
Honda,2019,Xe đã dùng,68000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,407
Mitsubishi,2017,Xe đã dùng,69000,Nhập khẩu,Sedan,Số tay,Xăng,5,233
Honda,2017,Xe đã dùng,75000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,368
Honda,2018,Xe đã dùng,48000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,412
Mitsubishi,2023,Xe đã dùng,1200,Nhập khẩu,SUV,Số tự động,Xăng,7,585
Kia,2015,Xe đã dùng,68000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,335
Ford,2019,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,480
Hyundai,2017,Xe đã dùng,68000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,278
Porsche,2021,Xe đã dùng,1500,Nhập khẩu,Sedan,Số tự động,Xăng,4,5650
Mercedes Benz,2018,Xe đã dùng,65000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2250
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,635
Ford,2014,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,378
Mitsubishi,2019,Xe đã dùng,39,Nhập khẩu,SUV,Số tay,Xăng,7,448
Toyota,2022,Xe đã dùng,18000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,535
Toyota,2022,Xe đã dùng,16000,Nhập khẩu,SUV,Số tự động,Xăng,7,2750
Mercedes Benz,2005,Xe đã dùng,98900,Nhập khẩu,Sedan,Số tự động,Xăng,5,175
Mazda,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,869
Mitsubishi,2023,Xe mới,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,592
Toyota,2016,Xe đã dùng,73000,Nhập khẩu,SUV,Số tự động,Xăng,8,2999
Hyundai,2018,Xe đã dùng,68000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,476
Ford,2019,Xe đã dùng,83000,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu,16,598
Kia,2022,Xe đã dùng,27000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,599
Ford,2019,Xe đã dùng,49000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,899
RAM,2021,Xe đã dùng,15000,Nhập khẩu,Bán tải / Pickup,Số tự động,Xăng,5,4199
Toyota,2019,Xe đã dùng,46000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,448
Kia,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,574
Lexus,2014,Xe đã dùng,100000,Nhập khẩu,SUV,Số tự động,Xăng,5,1390
Toyota,2020,Xe đã dùng,48000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,455
Toyota,2016,Xe đã dùng,68000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,365
Suzuki,2022,Xe mới,0,Nhập khẩu,SUV,Số tự động,Hybrid,7,608
Ford,2023,Xe đã dùng,15000,Nhập khẩu,SUV,Số tự động,Dầu,7,1440
Mercedes Benz,2020,Xe đã dùng,24135,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1790
Mercedes Benz,2015,Xe đã dùng,50000,Nhập khẩu,Sedan,Số tự động,Xăng,5,990
Skoda,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,1069
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,669
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,1199
Subaru,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,749
Isuzu,2008,Xe đã dùng,80000,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,219
Ford,2008,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,268
Toyota,2001,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tay,Xăng,8,85
Mercedes Benz,2016,Xe đã dùng,40000,Nhập khẩu,Sedan,Số tự động,Xăng,5,3150
VinFast,2021,Xe đã dùng,86000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,800
Mercedes Benz,2017,Xe đã dùng,48270,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1099
Lexus,2015,Xe đã dùng,64866,Nhập khẩu,Sedan,Số tự động,Xăng,5,2780
Hyundai,2018,Xe đã dùng,60,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,280
Hyundai,2005,Xe đã dùng,20000,Nhập khẩu,Van/Minivan,Số tay,Dầu,6,96
Suzuki,2014,Xe đã dùng,68000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,268
Isuzu,2008,Xe đã dùng,80000,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,219
Subaru,2023,Xe mới,0,Nhập khẩu,Coupe,Số tự động,Xăng,2,1728
Toyota,2019,Xe đã dùng,91368,Nhập khẩu,SUV,Số tay,Dầu,7,779
Mitsubishi,2016,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,5,458
Mercedes Benz,2021,Xe đã dùng,50,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1359
Ford,2018,Xe đã dùng,89000,Nhập khẩu,SUV,Số tự động,Dầu,7,829
BMW,2016,Xe đã dùng,80000,Nhập khẩu,Sedan,Số tự động,Xăng,5,630
Hyundai,2020,Xe đã dùng,20000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,405
Toyota,2017,Xe đã dùng,76000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,352
Mitsubishi,2010,Xe đã dùng,90000,Nhập khẩu,Sedan,Số tự động,Xăng,5,336
Ford,2019,Xe đã dùng,51000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,449
Lincoln,2018,Xe đã dùng,25000,Nhập khẩu,SUV,Số tự động,Xăng,7,5800
Mitsubishi,2020,Xe đã dùng,68000,Nhập khẩu,SUV,Số tự động,Xăng,7,495
Mitsubishi,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,590
Kia,2023,Xe mới,0,Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng,7,1834
Mercedes Benz,2022,Xe mới,0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,6,3445
Mazda,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,537
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2159
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,744
Mercedes Benz,2016,Xe đã dùng,68000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,899
BMW,2005,Xe đã dùng,130000,Nhập khẩu,SUV,Số tự động,Xăng,5,178
Lexus,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,3430
Ford,2016,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Dầu,7,675
Honda,2019,Xe đã dùng,30000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,390
VinFast,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Điện,5,458
Mitsubishi,2020,Xe đã dùng,32000,Nhập khẩu,SUV,Số tự động,Xăng,7,515
Toyota,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,1113
Chevrolet,2008,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,210
Hyundai,2022,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,886
Mercedes Benz,2022,Xe đã dùng,14000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1779
Honda,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,565
Lexus,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,3430
Mercedes Benz,2016,Xe đã dùng,104000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1480
BMW,2018,Xe đã dùng,31000,Nhập khẩu,SUV,Số tự động,Xăng,5,955
Hyundai,2018,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,255
LandRover,2015,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,4,4450
Mercedes Benz,2015,Xe đã dùng,50000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,695
Ford,2016,Xe đã dùng,58000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,329
Ford,2020,Xe đã dùng,57000,Nhập khẩu,SUV,Số tự động,Dầu,7,925
Kia,2017,Xe đã dùng,25000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,435
Kia,2021,Xe đã dùng,50000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,7,979
Toyota,2022,Xe đã dùng,7000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,450
Mazda,2019,Xe đã dùng,39000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,508
Kia,2019,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,485
Mazda,2022,Xe đã dùng,7000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,855
Toyota,2010,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,370
Mazda,2016,Xe đã dùng,65000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,545
Mazda,2015,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,445
Mazda,2019,Xe đã dùng,49000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,465
Kia,2021,Xe đã dùng,52000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,455
Toyota,2020,Xe đã dùng,27600,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,470
Toyota,2021,Xe đã dùng,20100,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,639
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Hybrid,5,735
Mercedes Benz,2022,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1709
Toyota,2020,Xe đã dùng,64000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,490
Ford,2022,Xe đã dùng,5000,Nhập khẩu,SUV,Số tự động,Dầu,7,1275
Toyota,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,608
Hyundai,2022,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,495
Mercedes Benz,2022,Xe đã dùng,5000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1688
Hyundai,2020,Xe đã dùng,45000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,620
Volkswagen,2022,Xe đã dùng,26000,Nhập khẩu,SUV,Số tự động,Xăng,7,1838
Mazda,2021,Xe đã dùng,50000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,730
Toyota,2009,Xe đã dùng,100000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,8,260
Toyota,2016,Xe đã dùng,50000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,665
BMW,2014,Xe đã dùng,90000,Nhập khẩu,SUV,Số tự động,Xăng,5,679
VinFast,2021,Xe đã dùng,30000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,835
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,690
Toyota,2022,Xe đã dùng,25000,Nhập khẩu,SUV,Số tự động,Xăng,5,725
Toyota,2022,Xe đã dùng,12000,Nhập khẩu,SUV,Số tự động,Xăng,7,640
Mitsubishi,2017,Xe đã dùng,59000,Nhập khẩu,Hatchback,Số tay,Xăng,5,225
Ford,2019,Xe đã dùng,60000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,880
Mercedes Benz,2017,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1166
Kia,2015,Xe đã dùng,80000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,2,209
Lexus,2005,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,499
Toyota,2015,Xe đã dùng,98000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,450
Hyundai,2020,Xe đã dùng,46000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,398
Toyota,2013,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,425
Mercedes Benz,2013,Xe đã dùng,0,Nhập khẩu,Van/Minivan,Số tay,Dầu,3,245
Mazda,2020,Xe đã dùng,38000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,599
Toyota,2016,Xe đã dùng,79800,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,565
Peugeot,2021,Xe đã dùng,36000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,680
Mitsubishi,2023,Xe mới,0,Nhập khẩu,Sedan,Số tay,Xăng,5,330
Mercedes Benz,2020,Xe đã dùng,11000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1660
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,552
Mercedes Benz,2022,Xe đã dùng,50,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1650
Kia,2019,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,298
Peugeot,2021,Xe đã dùng,31000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,665
Kia,2022,Xe đã dùng,20000,Lắp ráp trong nước,Crossover,Số tự động,Dầu,5,955
Hyundai,2021,Xe đã dùng,46000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,459
Hyundai,2021,Xe đã dùng,15268,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,565
LandRover,2019,Xe đã dùng,32000,Nhập khẩu,SUV,Số tự động,Xăng,4,6888
Ford,2019,Xe đã dùng,65000,Nhập khẩu,SUV,Số tự động,Dầu,7,919
Toyota,2009,Xe đã dùng,100000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,328
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1519
Lexus,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,2620
Toyota,2009,Xe đã dùng,100000,Nhập khẩu,Sedan,Số tự động,Xăng,5,310
Mercedes Benz,2016,Xe đã dùng,80450,Nhập khẩu,Sedan,Số tự động,Xăng,4,3950
Mercedes Benz,2019,Xe đã dùng,48000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1090
Ford,2020,Xe đã dùng,36000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,738
Kia,2022,Xe mới,0,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,424
Ford,2019,Xe đã dùng,51700,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,449
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,710
Mazda,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,459
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,1499
Mercedes Benz,2022,Xe đã dùng,78000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1145
Mazda,2015,Xe đã dùng,82000,Nhập khẩu,SUV,Số tự động,Xăng,7,535
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,2639
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,590
BMW,2016,Xe đã dùng,79000,Nhập khẩu,Sedan,Số tự động,Xăng,5,779
Kia,2022,Xe đã dùng,18000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,8,1235
Kia,2021,Xe đã dùng,26000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,379
Hyundai,2022,Xe đã dùng,30000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,783
Kia,2022,Xe đã dùng,10000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,438
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,4286
Mazda,2019,Xe đã dùng,26000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,495
Mercedes Benz,2021,Xe đã dùng,21000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2189
Kia,2022,Xe đã dùng,32000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,670
Mazda,2020,Xe đã dùng,27000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,483
Honda,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,590
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,3099
Suzuki,2022,Xe mới,0,Lắp ráp trong nước,Van/Minivan,Số tay,Xăng,2,294
Porsche,2018,Xe đã dùng,53000,Nhập khẩu,SUV,Số tự động,Xăng,5,4999
Hyundai,2023,Xe mới,0,Nhập khẩu,Crossover,Số tự động,Xăng,5,695
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2299
Kia,2020,Xe đã dùng,41000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,7,950
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,2099
BMW,2022,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,5049
Toyota,2021,Xe đã dùng,18000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,439
Chevrolet,2016,Xe đã dùng,70000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,195
Hyundai,2012,Xe đã dùng,6000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,245
LandRover,2014,Xe đã dùng,50000,Nhập khẩu,SUV,Số tự động,Xăng,5,1950
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,406
Kia,2021,Xe đã dùng,28000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,545
BMW,2011,Xe đã dùng,110000,Nhập khẩu,Sedan,Số tự động,Xăng,5,630
Mercedes Benz,2008,Xe đã dùng,100000,Nhập khẩu,SUV,Số tự động,Xăng,5,395
Hyundai,2009,Xe đã dùng,7000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,275
Ford,2014,Xe đã dùng,73000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,480
Hyundai,2009,Xe đã dùng,9000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,265
Suzuki,2021,Xe đã dùng,50000,Nhập khẩu,SUV,Số tự động,Xăng,7,515
Mazda,2018,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,640
VinFast,2022,Xe đã dùng,36000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,625
Mercedes Benz,2010,Xe đã dùng,15000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,365
Ford,2020,Xe đã dùng,52000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,738
Mitsubishi,2021,Xe đã dùng,20000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,686
Hyundai,2019,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,485
Ford,2018,Xe đã dùng,49000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,438
Mitsubishi,2019,Xe đã dùng,55000,Nhập khẩu,SUV,Số tự động,Dầu,7,789
BMW,2015,Xe đã dùng,70000,Nhập khẩu,Sedan,Số tự động,Xăng,5,599
BMW,2015,Xe đã dùng,90000,Nhập khẩu,Sedan,Số tự động,Xăng,5,599
Mercedes Benz,2014,Xe đã dùng,112000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1290
Kia,2022,Xe đã dùng,0,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,8,1080
Mitsubishi,2022,Xe mới,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,735
Kia,2022,Xe đã dùng,20000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,8,1250
Mitsubishi,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,750
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,979
Honda,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,590
Hyundai,2019,Xe đã dùng,49543,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,320
Honda,2020,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,870
Hyundai,2022,Xe đã dùng,3000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,490
Mazda,2015,Xe đã dùng,130000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,435
Hyundai,2022,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,495
Mazda,2022,Xe đã dùng,36138,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,785
Daewoo,2004,Xe đã dùng,60000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,110
Lexus,2003,Xe đã dùng,100000,Nhập khẩu,Sedan,Số tự động,Xăng,5,550
Kia,2021,Xe đã dùng,28000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,7,1280
Suzuki,2019,Xe đã dùng,28000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,450
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1299
Mercedes Benz,2021,Xe đã dùng,26000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1139
Audi,2016,Xe đã dùng,70000,Nhập khẩu,Sedan,Số tự động,Xăng,5,950
LandRover,2019,Xe đã dùng,32000,Nhập khẩu,SUV,Số tự động,Xăng,4,6900
Mercedes Benz,2013,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,415
Lexus,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,4,9650
Hyundai,2014,Xe đã dùng,78212,Nhập khẩu,Sedan,Số tự động,Xăng,5,395
Toyota,2011,Xe đã dùng,100000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,265
Mazda,2019,Xe đã dùng,37000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,660
Jaguar,2016,Xe đã dùng,60000,Nhập khẩu,SUV,Số tự động,Xăng,5,1580
Hyundai,2020,Xe đã dùng,51000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,345
Toyota,2021,Xe đã dùng,50000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,1160
BMW,2018,Xe đã dùng,16000,Nhập khẩu,Sedan,Số tự động,Xăng,5,2450
Porsche,2010,Xe đã dùng,100000,Nhập khẩu,SUV,Số tự động,Xăng,5,1199
Kia,2022,Xe đã dùng,10000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,545
Toyota,2015,Xe đã dùng,90000,Nhập khẩu,SUV,Số tự động,Xăng,7,1220
Toyota,2015,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,555
Suzuki,2023,Xe mới,0,Nhập khẩu,Hatchback,Số tự động,Xăng,5,559
Hyundai,2010,Xe đã dùng,80000,Nhập khẩu,Sedan,Số tự động,Xăng,5,1399
Fiat,2009,Xe đã dùng,70000,Nhập khẩu,Hatchback,Số tự động,Xăng,4,360
Toyota,2011,Xe đã dùng,128000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,228
Mercedes Benz,2021,Xe đã dùng,27000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1799
Toyota,2010,Xe đã dùng,0,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,245
Audi,2022,Xe đã dùng,1000,Nhập khẩu,Sedan,Số tự động,Xăng,5,2088
Lexus,2005,Xe đã dùng,144000,Nhập khẩu,Sedan,Số tự động,Xăng,5,399
Mitsubishi,2019,Xe đã dùng,70000,Nhập khẩu,SUV,Số tự động,Dầu,7,780
VinFast,2021,Xe đã dùng,30000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,615
Porsche,2017,Xe đã dùng,92000,Nhập khẩu,SUV,Số tự động,Hybrid,5,2999
Lexus,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,3130
Ford,2019,Xe đã dùng,42000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,445
Honda,2009,Xe đã dùng,110000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,275
Rolls,2022,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,4,22600
Hyundai,2009,Xe đã dùng,161231,Nhập khẩu,Sedan,Số tự động,Xăng,5,250
Rolls,2022,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,4,65000
LandRover,2015,Xe đã dùng,65000,Nhập khẩu,SUV,Số tự động,Dầu,5,3350
Mazda,2018,Xe đã dùng,70000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,499
LandRover,2019,Xe đã dùng,32000,Nhập khẩu,SUV,Số tự động,Xăng,4,6899
Bentley,2021,Xe đã dùng,4000,Nhập khẩu,SUV,Số tự động,Xăng,5,15800
Mitsubishi,2023,Xe mới,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,680
