Hãng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Số chỗ ngồi,Giá xe (triệu)
Ford,2009,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tay,Dầu,7,265
Toyota,2019,Xe đã dùng,80000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,507
Hyundai,2019,Xe đã dùng,42000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,515
Honda,2011,Xe đã dùng,130000,Nhập khẩu,Sedan,Số tự động,Xăng,5,355
Hyundai,2015,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,660
Hyundai,2019,Xe đã dùng,50000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,695
Mercedes Benz,2022,Xe đã dùng,500,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1559
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,744
Kia,2019,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,499
Toyota,2018,Xe đã dùng,169000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,520
Honda,2022,Xe đã dùng,11500,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,525
Mitsubishi,2008,Xe đã dùng,150000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,7,260
Mazda,2019,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,490
Kia,2017,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,620
Mercedes Benz,2017,Xe đã dùng,80450,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1045
Mini,2022,Xe đã dùng,6868,Nhập khẩu,Hatchback,Số tự động,Xăng,4,2380
Toyota,2010,Xe đã dùng,92000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,7,1150
Audi,2017,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,5,1245
Mercedes Benz,2019,Xe đã dùng,60000,Nhập khẩu,Sedan,Số tự động,Xăng,5,4699
Lexus,2009,Xe đã dùng,68000,Nhập khẩu,Sedan,Số tự động,Xăng,5,680
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2159
Toyota,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,592
Audi,2014,Xe đã dùng,53000,Nhập khẩu,Sedan,Số tự động,Xăng,5,1900
Mercedes Benz,2015,Xe đã dùng,60000,Nhập khẩu,Van/Minivan,Số tự động,Dầu,7,1100
Mitsubishi,2019,Xe đã dùng,42568,Nhập khẩu,SUV,Số tay,Xăng,7,420
BMW,2007,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,300
Hyundai,2020,Xe đã dùng,60000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,699
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,986
Mercedes Benz,2018,Xe đã dùng,23000,Nhập khẩu,Coupe,Số tự động,Xăng,5,2399
Kia,2016,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,615
Chevrolet,2009,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tay,Xăng,5,69
Ford,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,909
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,979
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,707
Toyota,2022,Xe đã dùng,10972,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,518
Mercedes Benz,2019,Xe đã dùng,27000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1199
Toyota,2018,Xe đã dùng,50000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,355
Toyota,2011,Xe đã dùng,70000,Nhập khẩu,SUV,Số tự động,Xăng,7,1190
Honda,2019,Xe đã dùng,52000,Nhập khẩu,SUV,Số tự động,Xăng,7,800
Toyota,2022,Xe đã dùng,28000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,515
Mercedes Benz,2022,Xe đã dùng,10000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2179
MG,2023,Xe mới,0,Nhập khẩu,Crossover,Số tự động,Xăng,5,475
Mercedes Benz,2010,Xe đã dùng,150000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,355
MG,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,495
Toyota,2011,Xe đã dùng,150000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,365
Bentley,2013,Xe đã dùng,59000,Nhập khẩu,Sedan,Số tự động,Xăng,5,8900
Toyota,2008,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,1389
Hyundai,2021,Xe đã dùng,21000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,560
Mazda,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,829
Toyota,2016,Xe đã dùng,80000,Nhập khẩu,SUV,Số tự động,Xăng,7,1380
VinFast,2021,Xe đã dùng,23000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,920
Mitsubishi,2023,Xe mới,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,650
Toyota,2022,Xe đã dùng,30000,Nhập khẩu,SUV,Số tự động,Xăng,7,595
Mercedes Benz,2020,Xe đã dùng,10000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1739
Toyota,2007,Xe đã dùng,0,Nhập khẩu,Hatchback,Số tự động,Xăng,5,255
Toyota,2022,Xe đã dùng,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,1090
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1189
Audi,2015,Xe đã dùng,70000,Nhập khẩu,Sedan,Số tự động,Xăng,5,899
MG,2020,Xe đã dùng,22000,Nhập khẩu,Crossover,Số tự động,Xăng,5,436
Mercedes Benz,2022,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,4,16000
Mercedes Benz,2009,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,345
Ford,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,831
Peugeot,2020,Xe đã dùng,48000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,825
Kia,2022,Xe đã dùng,120000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,8,1170
Toyota,2015,Xe đã dùng,79000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,455
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,869
VinFast,2021,Xe đã dùng,25000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,585
Kia,2012,Xe đã dùng,120000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,250
Infiniti,2015,Xe đã dùng,80000,Nhập khẩu,SUV,Số tự động,Xăng,7,2380
Mercedes Benz,2020,Xe đã dùng,20000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1190
VinFast,2020,Xe đã dùng,35000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,299
Lexus,2019,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,5,2200
Mitsubishi,2023,Xe mới,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,733
Mazda,2022,Xe đã dùng,29000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,805
Kia,2012,Xe đã dùng,111000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,375
Mercedes Benz,2022,Xe đã dùng,19,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2150
Hyundai,2021,Xe đã dùng,19000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,449
Mercedes Benz,2017,Xe đã dùng,62000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1090
Kia,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,649
Audi,2019,Xe đã dùng,25000,Nhập khẩu,SUV,Số tự động,Xăng,5,1890
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,707
Toyota,2018,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,475
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,814
Hyundai,2018,Xe đã dùng,45000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,495
Kia,2022,Xe đã dùng,12000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,475
Audi,2014,Xe đã dùng,50000,Nhập khẩu,Sedan,Số tự động,Xăng,5,639
Audi,2020,Xe đã dùng,27000,Nhập khẩu,Sedan,Số tự động,Xăng,5,3499
Nissan,2020,Xe đã dùng,39000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,685
Hyundai,2019,Xe đã dùng,69138,Lắp ráp trong nước,Crossover,Số tự động,Dầu,5,750
Toyota,2017,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,340
Toyota,2022,Xe đã dùng,12000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,515
VinFast,2021,Xe đã dùng,23000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,850
Mercedes Benz,2021,Xe đã dùng,11000,Nhập khẩu,Sedan,Số tự động,Xăng,5,4199
Mercedes Benz,2022,Xe đã dùng,6000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2050
Chevrolet,2011,Xe đã dùng,100000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,2,115
Mercedes Benz,2022,Xe đã dùng,12000,Nhập khẩu,Sedan,Số tự động,Xăng,5,1799
Ford,2019,Xe đã dùng,60000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,535
Volkswagen,2022,Xe đã dùng,5000,Nhập khẩu,SUV,Số tự động,Xăng,5,2999
