Tên xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Dẫn động,Số chỗ ngồi,Giá xe
Xe Ford Ranger Wildtrak 2.0L 4x4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Cam,Đen,4WD - Dẫn động 4 bánh,5 chỗ,979 Triệu
Xe Honda BR V G,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,590 Triệu
Xe Hyundai i10 Grand 1.2 AT,2019,Xe đã dùng,"49,543 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Xanh,Đỏ,FWD - Dẫn động cầu trước,5 chỗ,320 Triệu
Xe Honda CRV L,2020,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,7 chỗ,870 Triệu
Xe Hyundai Accent 1.4 AT Đặc Biệt,2022,Xe đã dùng,"3,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Đen,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,490 Triệu
Xe Mazda 3 1.5 AT,2015,Xe đã dùng,"130,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,435 Triệu
Xe Hyundai Accent 1.4 AT Đặc Biệt,2022,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Cát,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,495 Triệu
Xe Mazda CX5 Premium 2.0 AT,2022,Xe đã dùng,"36,138 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,785 Triệu
Xe Daewoo Lacetti Max 1.8 MT,2004,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.8 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,110 Triệu
Xe Lexus LS 430,2003,Xe đã dùng,"100,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  4.3 L,Đen,Kem,RFD - Dẫn động cầu sau,5 chỗ,550 Triệu
Xe Kia Carnival Signature 2.2D,2021,Xe đã dùng,"28,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Xanh,Nâu,FWD - Dẫn động cầu trước,7 chỗ,1 Tỷ 280 Triệu
Xe Suzuki Swift GLX 1.2 AT,2019,Xe đã dùng,"28,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,450 Triệu
Xe Ford Everest Titanium 2.0L 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Bạc,Đen,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 299 Triệu
Xe Mercedes Benz C class C180 AMG,2021,Xe đã dùng,"26,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Kem,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 139 Triệu
Xe Audi A6 2.0 TFSI,2016,Xe đã dùng,"70,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Nâu,FWD - Dẫn động cầu trước,5 chỗ,950 Triệu
Xe LandRover Range Rover Autobiography LWB 3.0 V6,2019,Xe đã dùng,"32,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,4 chỗ,6 Tỷ 900 Triệu
Xe Mercedes Benz C class C250,2013,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,415 Triệu
Xe Lexus LX 600 Vip,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  3.4 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,4 chỗ,9 Tỷ 650 Triệu
Xe Hyundai Elantra 1.8 AT,2014,Xe đã dùng,"78,212 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.8 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,395 Triệu
Xe Toyota Yaris 1.3 AT,2011,Xe đã dùng,"100,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,265 Triệu
Xe Mazda CX5 2.5 AT 2WD,2019,Xe đã dùng,"37,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,660 Triệu
Xe Jaguar F-Pace Prestige,2016,Xe đã dùng,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Xanh,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 580 Triệu
Xe Hyundai i10 Grand 1.2 AT,2020,Xe đã dùng,"51,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Nâu,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,345 Triệu
Xe Toyota Fortuner 2.8V 4x4 AT Legender,2021,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.8 L,Trắng,Nhiều màu,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 160 Triệu
Xe BMW 7 Series 730Li,2018,Xe đã dùng,"16,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,2 Tỷ 450 Triệu
Xe Porsche Cayenne S,2010,Xe đã dùng,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  4.8 L,Xám,Xám,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 199 Triệu
Xe Kia Sonet Luxury 1.5 AT,2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,545 Triệu
Xe Toyota Prado TXL 2.7L,2015,Xe đã dùng,"90,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Đồng,Đen,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 220 Triệu
Xe Toyota Camry 2.0E,2015,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Cát,Kem,FWD - Dẫn động cầu trước,5 chỗ,555 Triệu
Xe Suzuki Swift GLX 1.2 AT,2023,Xe mới,Xe mới,Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,559 Triệu
Xe Hyundai Equus Limousine VL 500,2010,Xe đã dùng,"80,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  5.0 L,Đen,Kem,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 399 Triệu
Xe Fiat 500 0.9 AT,2009,Xe đã dùng,"70,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  0.9 L,Xanh,Kem,FWD - Dẫn động cầu trước,4 chỗ,360 Triệu
Xe Toyota Innova G,2011,Xe đã dùng,"128,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Bạc,Nhiều màu,RFD - Dẫn động cầu sau,8 chỗ,228 Triệu
Xe Mercedes Benz E class E200 Exclusive,2021,Xe đã dùng,"27,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 799 Triệu
Xe Toyota Innova G,2010,Xe đã dùng,0 Km,Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,-,-,RFD - Dẫn động cầu sau,8 chỗ,245 Triệu
Xe Audi A6 45 TFSI,2022,Xe đã dùng,"1,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,FWD - Dẫn động cầu trước,5 chỗ,2 Tỷ 88 Triệu
Xe Lexus GS 300,2005,Xe đã dùng,"144,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Đen,Nâu,RFD - Dẫn động cầu sau,5 chỗ,399 Triệu
Xe Mitsubishi Pajero Sport 2.4D 4x2 AT,2019,Xe đã dùng,"70,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,7 chỗ,780 Triệu
Xe VinFast Lux A 2.0 2.0 AT,2021,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Ghi,RFD - Dẫn động cầu sau,5 chỗ,615 Triệu
Xe Porsche Cayenne S E-Hybrid Platinum Edition,2017,Xe đã dùng,"92,000 Km",Nhập khẩu,SUV,Số tự động,Hybrid  3.0 L,Trắng,Đỏ,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 999 Triệu
Xe Lexus NX 350 F-Sport,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.4 L,Ghi,Nhiều màu,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 130 Triệu
Xe Ford Focus Trend 1.5L,2019,Xe đã dùng,"42,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,445 Triệu
Xe Honda Civic 1.8 AT,2009,Xe đã dùng,"110,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,275 Triệu
Xe Rolls Royce Cullinan 6.75 V12,2022,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  6.7 L,Xanh,Đỏ,AWD - 4 bánh toàn thời gian,4 chỗ,22 Tỷ 600 Triệu
Xe Hyundai Sonata 2.0 AT,2009,Xe đã dùng,"161,231 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,250 Triệu
Xe Rolls Royce Phantom EWB 6.7 V12,2022,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  6.7 L,Đen,Cam,AWD - 4 bánh toàn thời gian,4 chỗ,65 Tỷ
Xe LandRover Range Rover Autobiography 4.4 SDV8,2015,Xe đã dùng,"65,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  4.4 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 350 Triệu
Xe Mazda 3 2.0 AT,2018,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,499 Triệu
Xe LandRover Range Rover Autobiography LWB 3.0 V6,2019,Xe đã dùng,"32,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,4 chỗ,6 Tỷ 899 Triệu
Xe Bentley Bentayga First Edition 4.0 V8,2021,Xe đã dùng,"4,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  4.0 L,Đỏ,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,15 Tỷ 800 Triệu
Xe Mitsubishi Triton Athlete 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Trắng,Cam,RFD - Dẫn động cầu sau,5 chỗ,680 Triệu
Xe Toyota Yaris 1.5 AT,2012,Xe đã dùng,"67,891 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.5 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,328 Triệu
Xe Mercedes Benz GL GL 400 4Matic,2015,Xe đã dùng,"80,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Đen,Kem,AWD - 4 bánh toàn thời gian,7 chỗ,1 Tỷ 399 Triệu
Xe Lexus ES 250,2020,Xe đã dùng,"52,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,Trắng,Nâu,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 999 Triệu
Xe Ford Everest Titanium 2.0L 4x2 AT,2021,Xe đã dùng,"48,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Đỏ,Đen,RFD - Dẫn động cầu sau,7 chỗ,945 Triệu
Xe Toyota Corolla Cross 1.8V,2021,Xe đã dùng,"30,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,755 Triệu
Xe Lexus LX 600 Urban,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  3.4 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,8 Tỷ 500 Triệu
Xe Mercedes Benz GLC 300 4Matic,2023,Xe đã dùng,"3,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 719 Triệu
Xe Ford Escape XLS 2.3L 4x2 AT,2012,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.3 L,Đen,Xám,FWD - Dẫn động cầu trước,5 chỗ,280 Triệu
Xe Hyundai Stargazer Cao cấp 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,Van/Minivan,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,7 chỗ,555 Triệu
Xe Honda City RS 1.5 AT,2023,Xe đã dùng,"24,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xám,Đen,FWD - Dẫn động cầu trước,5 chỗ,545 Triệu
Xe Mitsubishi Pajero Sport G 4x2 AT,2013,Xe đã dùng,"82,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  3.0 L,Trắng,Đen,RFD - Dẫn động cầu sau,7 chỗ,420 Triệu
Xe Toyota Vios 1.5G,2019,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Cát,Kem,FWD - Dẫn động cầu trước,5 chỗ,445 Triệu
Xe Honda HRV L,2021,Xe đã dùng,"39,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng  1.8 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,648 Triệu
Xe LandRover Range Rover Autobiography LWB 5.0,2015,Xe đã dùng,"33,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  5.0 L,Ghi,Trắng,AWD - 4 bánh toàn thời gian,4 chỗ,4 Tỷ 450 Triệu
Xe Toyota Prado VX 2.7L,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Đen,Đen,4WD - Dẫn động 4 bánh,7 chỗ,2 Tỷ 628 Triệu
Xe Porsche Cayenne 3.0 V6,2019,Xe đã dùng,"31,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Xanh,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 900 Triệu
Xe Rolls Royce Phantom EWB 6.7 V12,2022,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  6.7 L,Đen,Kem,AWD - 4 bánh toàn thời gian,4 chỗ,63 Tỷ 500 Triệu
Xe Toyota Land Cruiser 3.5 V6,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  3.4 L,Trắng,Kem,AWD - 4 bánh toàn thời gian,7 chỗ,4 Tỷ 297 Triệu
Xe Ford Territory Titanium X 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,879 Triệu
Xe Mercedes Benz E class E180,2020,Xe đã dùng,"14,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 239 Triệu
Xe Hyundai SantaFe Tiêu chuẩn 2.5L,2022,Xe đã dùng,"4,300 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Đen,Nâu,FWD - Dẫn động cầu trước,7 chỗ,945 Triệu
Xe Ford Focus 1.8 MT,2006,Xe đã dùng,"181,113 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.8 L,Đen,Ghi,FWD - Dẫn động cầu trước,5 chỗ,135 Triệu
Xe Suzuki Ertiga Hybrid 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Hybrid  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,7 chỗ,608 Triệu
Xe Honda CRV 2.4 AT,2010,Xe đã dùng,"110,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Bạc,Đen,FWD - Dẫn động cầu trước,5 chỗ,355 Triệu
Xe Lexus LX 570,2016,Xe đã dùng,"11,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  5.7 L,Đen,Kem,AWD - 4 bánh toàn thời gian,7 chỗ,4 Tỷ 500 Triệu
Xe Kia Sorento 2.2 DAT Premium,2019,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Đen,Kem,FWD - Dẫn động cầu trước,7 chỗ,652 Triệu
Xe Toyota Fortuner 2.4G 4x2 MT,2020,Xe đã dùng,"2,200 Km",Lắp ráp trong nước,SUV,Số tay,Dầu  2.4 L,Trắng,Nâu,RFD - Dẫn động cầu sau,7 chỗ,828 Triệu
Xe Toyota Rush 1.5S AT,2020,Xe đã dùng,"56,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Đỏ,Đen,RFD - Dẫn động cầu sau,7 chỗ,555 Triệu
Xe Mercedes Benz GLK Class GLK250 4Matic,2013,Xe đã dùng,"81,213 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Bạc,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,560 Triệu
Xe Toyota Innova 2.0E,2019,Xe đã dùng,"34,787 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,8 chỗ,530 Triệu
Xe Mazda 3 1.5L Luxury,2019,Xe đã dùng,"34,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xám,Đen,FWD - Dẫn động cầu trước,5 chỗ,505 Triệu
Xe Honda HRV RS,2023,Xe mới,Xe mới,Nhập khẩu,Crossover,Số tự động,Xăng  1.5 L,Trắng,-,FWD - Dẫn động cầu trước,5 chỗ,830 Triệu
Xe BMW 7 Series 730Li,2014,Xe đã dùng,"85,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,950 Triệu
Xe Lexus RX 350,2021,Xe đã dùng,"20,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.5 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 290 Triệu
Xe Mercedes Benz GLC 200,2018,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Kem,RFD - Dẫn động cầu sau,5 chỗ,999 Triệu
Xe MG 5 Luxury 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Đỏ,-,FWD - Dẫn động cầu trước,5 chỗ,488 Triệu
Xe Porsche Macan 2.0,2021,Xe đã dùng,"14,481 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Xám,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 150 Triệu
Xe Mercedes Benz GLC 200 4Matic,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Nhiều màu,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 250 Triệu
Xe LandRover Range Rover HSE 3.0,2014,Xe đã dùng,"35,727 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 450 Triệu
Xe Mercedes Benz S class S450L Luxury,2019,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  3.0 L,Đen,Kem,RFD - Dẫn động cầu sau,5 chỗ,2 Tỷ 699 Triệu
Xe Kia Rondo GMT,2018,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,SUV,Số tay,Xăng  2.0 L,Trắng,Cát,FWD - Dẫn động cầu trước,7 chỗ,410 Triệu
Xe Toyota Vios G 1.5 CVT,2022,Xe đã dùng,"13,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,497 Triệu
Xe Ford Focus Trend 1.5L,2019,Xe đã dùng,"39,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xám,Kem,FWD - Dẫn động cầu trước,5 chỗ,428 Triệu
Xe Toyota Corolla XLi 1.6 AT,2007,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  1.6 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,255 Triệu
Xe Mazda CX5 Premium 2.0 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,799 Triệu
Xe Toyota Corolla Cross 1.8G,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xám,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,710 Triệu
Xe Mercedes Benz C class C300 AMG,2015,Xe đã dùng,"48,270 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,695 Triệu
Xe Mercedes Benz C class C200 Avantgarde Plus,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 849 Triệu
Xe Isuzu Dmax LS 2.5 4x2 MT,2015,Xe đã dùng,"68,000 Km",Nhập khẩu,Bán tải / Pickup,Số tay,Dầu  2.5 L,Đỏ,Đen,RFD - Dẫn động cầu sau,5 chỗ,280 Triệu
Xe Rolls Royce Cullinan 6.75 V12,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  6.7 L,Xám,Đỏ,AWD - 4 bánh toàn thời gian,4 chỗ,22 Tỷ 600 Triệu
Xe Ford Ranger Wildtrak 3.2L 4x4 AT,2016,Xe đã dùng,"150,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  3.2 L,Trắng,Nhiều màu,4WD - Dẫn động 4 bánh,5 chỗ,530 Triệu
Xe Mitsubishi Triton 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,595 Triệu
Xe Mazda 3 1.5L Luxury,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,619 Triệu
Xe Mercedes Benz GLC 300 4Matic,2018,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 250 Triệu
Xe Mazda CX5 Premium 2.0 AT,2022,Xe đã dùng,"7,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,799 Triệu
Xe Hyundai Elantra Sport 1.6 AT,2018,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.6 L,Cát,Ghi,FWD - Dẫn động cầu trước,5 chỗ,483 Triệu
Xe Toyota Hilux 2.5E 4x2 MT,2009,Xe đã dùng,"160,000 Km",Nhập khẩu,Bán tải / Pickup,Số tay,Dầu  2.5 L,Ghi,Ghi,RFD - Dẫn động cầu sau,5 chỗ,290 Triệu
Xe Kia Cerato 1.6 AT,2016,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.6 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,385 Triệu
Xe Mitsubishi Jolie SS,2005,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tay,Xăng  2.0 L,Đen,Vàng,RFD - Dẫn động cầu sau,8 chỗ,105 Triệu
Xe Kia Seltos Premium 1.4 AT,2021,Xe đã dùng,"26,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Cam,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,610 Triệu
Xe Toyota Fortuner 2.8V 4x4 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Dầu  2.8 L,Đen,Đen,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 423 Triệu
Xe Volkswagen Teramont 2.0 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Xám,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,2 Tỷ 99 Triệu
Xe Mercedes Benz GLC 300 4Matic,2018,Xe đã dùng,"29,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 209 Triệu
Xe Toyota Prado GX 2.7 AT,2008,Xe đã dùng,"101,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Đen,Đen,4WD - Dẫn động 4 bánh,7 chỗ,460 Triệu
Xe Mazda 6 2.0 AT,2016,Xe đã dùng,"46,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,450 Triệu
Xe Mercedes Benz E class E200 Exclusive,2021,Xe đã dùng,"15,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 819 Triệu
Xe Ford Ranger XLS 2.2L 4x2 AT,2021,Xe đã dùng,"30,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.2 L,Vàng,Đen,RFD - Dẫn động cầu sau,5 chỗ,565 Triệu
Xe Mercedes Benz Maybach S680 4Matic,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  6.0 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,4 chỗ,17 Tỷ 500 Triệu
Xe Hyundai Elantra 2.0 AT,2022,Xe đã dùng,"18,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,569 Triệu
Xe Toyota Vios 1.5G,2019,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Bạc,Kem,FWD - Dẫn động cầu trước,5 chỗ,430 Triệu
