company,type,mfdate,mileage_v2,condition_ad,gearbox,fuel,carorigin,cartype,carseats,veh_warranty_policy,veh_unladen_weight,veh_gross_weight,cost
Porsche,Macan,2020,78050,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,1.889.000.000 đ
Porsche,Cayenne,2014,89000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,1.456.000.000 đ
Honda,Civic,2023,,Mới,Tự động,Xăng,Thái Lan,,5,,,,770.000.000 đ
Honda,City,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,,,,,589.000.000 đ
Mazda,626,1993,150000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,47.000.000 đ
Toyota,Vios,2021,20000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,440.000.000 đ
Honda,CR V,2014,100000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,508.000.000 đ
Kia,Sedona,2016,72000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,525.000.000 đ
Kia,Morning,2019,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,289.000.000 đ
Mercedes Benz,C Class,2017,21000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,888.000.000 đ
Hyundai,Santa Fe,2020,75000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,899.000.000 đ
Toyota,Avanza,2022,20100,Đã sử dụng,Số sàn,Xăng,Nước khác,,,,,,499.000.000 đ
Ford,Ranger,2016,70000,Đã sử dụng,Số sàn,Dầu,,Pick-up (bán tải),,,,,418.000.000 đ
Chevrolet,Cruze,2012,100000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,235.000.000 đ
Chevrolet,Cruze,2012,100000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,235.000.000 đ
Porsche,Cayenne,2014,90000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,1.460.000.000 đ
Hyundai,Terracan,2003,185000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,,,,,,145.000.000 đ
RAM,1500,2008,78012,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,1.400.000.000 đ
Ford,Ranger,2020,33000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,550.000.000 đ
Hyundai,Accent,2019,53000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,400.000.000 đ
Hyundai,Accent,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,,,,,426.000.000 đ
Hyundai,Grand i10,2019,45000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,299.000.000 đ
Mitsubishi,Xpander,2021,28000,Đã sử dụng,Tự động,Xăng,,Minivan (MPV),,,,,548.000.000 đ
Porsche,Macan,2015,78010,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,1.390.000.000 đ
Citroen,DS3,2011,86000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,285.000.000 đ
Honda,Civic,2009,110000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,275.000.000 đ
Toyota,Vios,2013,100000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,245.000.000 đ
Mercedes Benz,C Class,2022,9000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.898.000.000 đ
Kia,Carnival,2023,,Mới,Tự động,Dầu,Việt Nam,Minivan (MPV),,,,,1.429.000.000 đ
Ford,Ranger,2021,10000,Đã sử dụng,Tự động,Dầu,,Pick-up (bán tải),,,,,670.000.000 đ
Kia,Sonet,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,519.000.000 đ
